id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"alacrimapp",,,"",,"","2023-01-06 19:32:11.043561+00","t","t","f","310","Ala. Crim. App.","Court of Criminal Appeals of Alabama","Court of Criminal Appeals of Alabama","http://judicial.alabama.gov/criminal.cfm","1969-01-01",,"SA","Lawbo",
"alacivapp",,,"",,"","2023-01-06 19:33:10.853447+00","t","t","f","311","Ala. Civ. App.","Court of Civil Appeals of Alabama","Court of Civil Appeals of Alabama","http://judicial.alabama.gov/civil.cfm","1969-01-01",,"SA","Lawbox",
"cafc","13","t","orders,opinions,judgments",,"","2023-02-22 15:47:46.790323+00","t","t","t","113","Fed. Cir.","Federal Circuit","Court of Appeals for the Federal Circuit","http://www.cafc.uscourts.gov/","1982-04-02",,"F","",
"caed","33","t","adr,answer,appeal,cmp,discov,minutes,mot2255,motion,notice,order,respm,respoth,service,transfer,trial",,"72","2023-10-03 01:23:43.737215+00","t","f","f","205.06","E.D. Cal.","E.D. California","District Court, E.D. California","http://www.caed.uscourts.gov/",,,"FD","","usdistct"
"casd","37","t","all",,"74","2023-10-03 01:23:43.763456+00","t","f","f","205.2","S.D. Cal.","S.D. California","District Court, S.D. California","http://www.casd.uscourts.gov/",,,"FD","","usdistct"
"cod","39","t","motion,order",,"82","2023-10-03 01:23:43.791236+00","t","f","f","206","D. Colo.","D. Colorado","District Court, D. Colorado","http://www.cod.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ded","43","t","all",,"11","2023-10-03 01:23:43.835234+00","t","f","f","208","D. Del.","D. Delaware","District Court, D. Delaware","http://www.ded.uscourts.gov/",,,"FD","Lawbox","usdistct"
"circtdel",,,"",,"","2023-10-03 01:23:43.855233+00","f","f","f","300.065","Cir. Ct. Del.","Circuit Court of Delaware","U.S. Circuit Court for the District of Delaware","http://www.fjc.gov/history/home.nsf/page/courts_circuit_de.html","1789-09-24","1912-01-01","F","","uscirct"
"flmd","47","t","all",,"3A","2023-10-03 01:23:43.88265+00","t","f","f","208.5","M.D. Fla.","M.D. Florida","District Court, M.D. Florida","http://www.flmd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"flnd","49","f","",,"29","2023-10-03 01:23:43.891297+00","t","f","f","208.51","N.D. Fla.","N.D. Florida","District Court, N.D. Florida","http://www.flnd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"flsd","51","t","all",,"3C","2023-10-03 01:23:43.904277+00","t","f","f","208.52","S.D. Fla.","S.D. Florida","District Court, S.D. Florida","http://www.flsd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"circtndfl",,,"",,"","2023-10-03 01:23:43.915201+00","f","f","f","208.531","C.C.N.D. Fla.","United States Circuit Court for the Northern District of Florida","United States Circuit Court for the Northern District of Florida","",,,"F","Created as part of import of Case.Law data.","uscirct"
"circtsdfl",,,"",,"","2023-10-03 01:23:43.928306+00","f","f","f","208.532","C.C.S.D. Fla.","United States Circuit Court for the Southern District of Florida","United States Circuit Court for the Southern District of Florida","",,,"F","Created as part of import of Case.Law data.","uscirct"
"superctsdfla",,,"",,"","2023-10-03 01:23:43.939196+00","f","f","f","208.54","Super. Ct. S.D. Fla.","Superior Court, S. D. Florida","Superior Court, S. D. Florida","","1828-01-01","1845-12-31","FD","This was a pre-statehood federal court.","usdistct"
"gamd","53","t","order,order-cr",,"3G","2023-10-03 01:23:43.971232+00","t","f","f","208.6","M.D. Ga.","M.D. Georgia","District Court, M.D. Georgia","http://www.gamd.uscourts.gov/",,,"FD","Lawbox","usdistct"
