id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"nyplattscityct",,,"",,"","2023-10-03 01:23:58.247696+00","f","f","f","366.9655155","Plattsburgh City Ct.","Plattsburgh City Court","Plattsburgh City Court","",,,"ST","","nycityct"
"nyportjercityct",,,"",,"","2023-10-03 01:23:58.259302+00","f","f","f","366.96552","","Port Jervis City Court","Port Jervis City Court","",,,"ST","","nycityct"
"nypoughcityct",,,"",,"","2023-10-03 01:23:58.265605+00","f","f","f","366.9655205","Poughkeepsie City Ct.","Poughkeepsie City Court","Poughkeepsie City Court","",,,"ST","","nycityct"
"nyroccityct",,,"",,"","2023-10-03 01:23:58.283095+00","f","f","f","366.965521","","Rochester City Court","Rochester City Court","",,,"ST","","nycityct"
"nyromecityct",,,"",,"","2023-10-03 01:23:58.298996+00","f","f","f","366.9655212","Rome City Ct.","Rome City Court","Rome City Court","",,,"ST","","nycityct"
"nyryecityct",,,"",,"","2023-10-03 01:23:58.311227+00","f","f","f","366.9655214","Rye City Ct.","Rye City Court","Rye City Court","",,,"ST","","nycityct"
"nysaratocityct",,,"",,"","2023-10-03 01:23:58.323173+00","f","f","f","366.9655216","Saratoga Springs City Ct.","Saratoga Springs City Court","Saratoga Springs City Court","",,,"ST","","nycityct"
"nyschencityct",,,"",,"","2023-10-03 01:23:58.329744+00","f","f","f","366.965522","","Schenectady City Court","Schenectady City Court","",,,"ST","","nycityct"
"nysyrcityct",,,"",,"","2023-10-03 01:23:58.350039+00","f","f","f","366.965523","","Syracuse City Court","Syracuse City Court","",,,"ST","","nycityct"
"nytonacityct",,,"",,"","2023-10-03 01:23:58.363211+00","f","f","f","366.965525","","Tonawanda City Court","Tonawanda City Court","",,,"ST","","nycityct"
"nytroycityct",,,"",,"","2023-10-03 01:23:58.381455+00","f","f","f","366.965526","","Troy City Court","Troy City Court","",,,"ST","","nycityct"
"nyuticacityct",,,"",,"","2023-10-03 01:23:58.395777+00","f","f","f","366.965527","","Utica City Court","Utica City Court","",,,"ST","","nycityct"
"nywatertcityct",,,"",,"","2023-10-03 01:23:58.411199+00","f","f","f","366.9655275","Watertown City Ct.","Watertown City Court","Watertown City Court","",,,"ST","","nycityct"
"nywhplncityct",,,"",,"","2023-10-03 01:23:58.427151+00","f","f","f","366.965528","","White Plains City Court","White Plains City Court","",,,"ST","","nycityct"
"nywestchcityct",,,"",,"","2023-10-03 01:23:58.439151+00","f","f","f","366.9655285","City Ct. of Westchester","City Court of Westchester","City Court of Westchester","",,,"ST","","nycityct"
"nyyonkerscityct",,,"",,"","2023-10-03 01:23:58.452798+00","f","f","f","366.965529","","Yonkers City Court","Yonkers City Court","",,,"ST","","nycityct"
"nycfamct",,,"",,"","2023-10-03 01:23:58.463231+00","f","f","f","366.96605","N.Y.C. Fam. Ct.","NYC Family Court","New York City Family Court","",,,"ST","","nyfamct"
"nyfamctdel",,,"",,"","2023-10-03 01:23:58.479137+00","f","f","f","366.9661","Delaware Children's Ct.","Delaware Children's Court","Delaware Children's Court","",,,"ST","","nyfamct"
"nyfamctsull",,,"",,"","2023-10-03 01:23:58.495422+00","f","f","f","366.9662","Sullivan Cty Children's Ct.","Sullivan County Children's Court","Sullivan County Children's Court","",,,"ST","","nyfamct"
"nyfamctwestch",,,"",,"","2023-10-03 01:23:58.515156+00","f","f","f","366.9663","Westchester Cty Children's Ct.","Westchester County Children's Court","Westchester County Children's Court","",,,"ST","","nyfamct"
"nycrimctbronx",,,"",,"","2023-10-03 01:23:58.531433+00","f","f","f","366.967512","Bronx Criminal Ct.","Bronx Criminal Court","The Criminal Court of the City of New York, Bronx","",,,"ST","","nycrimct"
"nycrimctkings",,,"",,"","2023-10-03 01:23:58.544751+00","f","f","f","366.967514","Kings Criminal Ct.","Kings Criminal Court","The Criminal Court of the City of New York, Kings","",,,"ST","","nycrimct"
"nycrimctqueens",,,"",,"","2023-10-03 01:23:58.559188+00","f","f","f","366.967516","Queens Criminal Ct.","Queens Criminal Court","The Criminal Court of the City of New York, Queens","",,,"ST","","nycrimct"
"nycrimctnyc",,,"",,"","2023-10-03 01:23:58.576899+00","f","f","f","366.967518","N.Y. Crim. Ct.","New York Criminal Court","The Criminal Court of the City of New York, New York","",,,"ST","","nycrimct"
"nynycmagct",,,"",,"","2023-10-03 01:23:58.592765+00","f","f","f","366.967611","","New York City Magistrates' Court","New York City Magistrates' Court","",,"1962-09-01","ST","","nymagct"
"nysuperctbuf",,,"",,"","2023-10-03 01:23:58.61157+00","f","f","f","366.967621","","Superior Court of Buffalo","Superior Court of Buffalo","",,,"ST","","superctny"
"nysuperctnyc",,,"",,"","2023-10-03 01:23:58.62237+00","f","f","f","366.967622","","The Superior Court of New York City","The Superior Court of New York City","",,,"ST","","superctny"
"ohctapp1hamilto",,,"",,"","2023-10-03 01:23:58.636999+00","f","f","f","366.9960011","Oh. Ct. App. 1st Dist. Hamilton","Court of Appeals of Ohio, First District, Hamilton County","Court of Appeals of Ohio, First District, Hamilton County","",,,"ST","Created as part of import of Case.Law data.","ohctapp1"
"ohctapp2",,,"",,"","2023-10-03 01:23:58.646055+00","f","f","f","366.996002","","Court of Appeals of Ohio, Second District","Court of Appeals of Ohio, Second District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp2champai",,,"",,"","2023-10-03 01:23:58.655323+00","f","f","f","366.996003","Oh. Ct. App. 2nd Dist. Champaign","Court of Appeals of Ohio, Second District, Champaign County","Court of Appeals of Ohio, Second District, Champaign County","",,,"ST","Created as part of import of Case.Law data.","ohctapp2"
"ohctapp2clark",,,"",,"","2023-10-03 01:23:58.666418+00","f","f","f","366.996004","Oh. Ct. App. 2nd Dist. Clark","Court of Appeals of Ohio, Second District, Clark County","Court of Appeals of Ohio, Second District, Clark County","",,,"ST","Created as part of import of Case.Law data.","ohctapp2"
"ohctapp2darke",,,"",,"","2023-10-03 01:23:58.673245+00","f","f","f","366.996005","Oh. Ct. App. 2nd Dist. Darke","Court of Appeals of Ohio, Second District, Darke County","Court of Appeals of Ohio, Second District, Darke County","",,,"ST","Created as part of import of Case.Law data.","ohctapp2"
"ohctapp2greene",,,"",,"","2023-10-03 01:23:58.688716+00","f","f","f","366.996006","Oh. Ct. App. 2nd Dist. Greene","Court of Appeals of Ohio, Second District, Greene County","Court of Appeals of Ohio, Second District, Greene County","",,,"ST","Created as part of import of Case.Law data.","ohctapp2"
"ohctapp2miami",,,"",,"","2023-10-03 01:23:58.703335+00","f","f","f","366.996007","Oh. Ct. App. 2nd Dist. Miami","Court of Appeals of Ohio, Second District, Miami County","Court of Appeals of Ohio, Second District, Miami County","",,,"ST","Created as part of import of Case.Law data.","ohctapp2"
"ohctapp2montgom",,,"",,"","2023-10-03 01:23:58.71288+00","f","f","f","366.996008","Oh. Ct. App. 2nd Dist. Montgomery","Court of Appeals of Ohio, Second District, Montgomery County","Court of Appeals of Ohio, Second District, Montgomery County","",,,"ST","Created as part of import of Case.Law data.","ohctapp2"
"ohctapp3",,,"",,"","2023-10-03 01:23:58.731193+00","f","f","f","366.996009","","Court of Appeals of Ohio, Third District","Court of Appeals of Ohio, Third District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp3allen",,,"",,"","2023-10-03 01:23:58.747161+00","f","f","f","366.99601","Oh. Ct. App. 3rd Dist. Allen","Court of Appeals of Ohio, Third District, Allen County","Court of Appeals of Ohio, Third District, Allen County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3auglaiz",,,"",,"","2023-10-03 01:23:58.75944+00","f","f","f","366.996011","Oh. Ct. App. 3rd Dist. Auglaize","Court of Appeals of Ohio, Third District, Auglaize County","Court of Appeals of Ohio, Third District, Auglaize County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3crawfor",,,"",,"","2023-10-03 01:23:58.772827+00","f","f","f","366.996012","Oh. Ct. App. 3rd Dist. Crawford","Court of Appeals of Ohio, Third District, Crawford County","Court of Appeals of Ohio, Third District, Crawford County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3defianc",,,"",,"","2023-10-03 01:23:58.779101+00","f","f","f","366.996013","Oh. Ct. App. 3rd Dist. Defiance","Court of Appeals of Ohio, Third District, Defiance County","Court of Appeals of Ohio, Third District, Defiance County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3hancock",,,"",,"","2023-10-03 01:23:58.791217+00","f","f","f","366.996014","Oh. Ct. App. 3rd Dist. Hancock","Court of Appeals of Ohio, Third District, Hancock County","Court of Appeals of Ohio, Third District, Hancock County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3hardin",,,"",,"","2023-10-03 01:23:58.804774+00","f","f","f","366.996015","Oh. Ct. App. 3rd Dist. Hardin","Court of Appeals of Ohio, Third District, Hardin County","Court of Appeals of Ohio, Third District, Hardin County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3henry",,,"",,"","2023-10-03 01:23:58.81515+00","f","f","f","366.996016","Oh. Ct. App. 3rd Dist. Henry","Court of Appeals of Ohio, Third District, Henry County","Court of Appeals of Ohio, Third District, Henry County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3logan",,,"",,"","2023-10-03 01:23:58.829799+00","f","f","f","366.996017","Oh. Ct. App. 3rd Dist. Logan","Court of Appeals of Ohio, Third District, Logan County","Court of Appeals of Ohio, Third District, Logan County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3marion",,,"",,"","2023-10-03 01:23:58.844828+00","f","f","f","366.996018","Oh. Ct. App. 3rd Dist. Marion","Court of Appeals of Ohio, Third District, Marion County","Court of Appeals of Ohio, Third District, Marion County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3mercer",,,"",,"","2023-10-03 01:23:58.859313+00","f","f","f","366.996019","Oh. Ct. App. 3rd Dist. Mercer","Court of Appeals of Ohio, Third District, Mercer County","Court of Appeals of Ohio, Third District, Mercer County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3pauldin",,,"",,"","2023-10-03 01:23:58.871298+00","f","f","f","366.99602","Oh. Ct. App. 3rd Dist. Paulding","Court of Appeals of Ohio, Third District, Paulding County","Court of Appeals of Ohio, Third District, Paulding County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3putnam",,,"",,"","2023-10-03 01:23:58.883183+00","f","f","f","366.996021","Oh. Ct. App. 3rd Dist. Putnam","Court of Appeals of Ohio, Third District, Putnam County","Court of Appeals of Ohio, Third District, Putnam County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3seneca",,,"",,"","2023-10-03 01:23:58.900044+00","f","f","f","366.996022","Oh. Ct. App. 3rd Dist. Seneca","Court of Appeals of Ohio, Third District, Seneca County","Court of Appeals of Ohio, Third District, Seneca County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3shelby",,,"",,"","2023-10-03 01:23:58.911502+00","f","f","f","366.996023","Oh. Ct. App. 3rd Dist. Shelby","Court of Appeals of Ohio, Third District, Shelby County","Court of Appeals of Ohio, Third District, Shelby County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3union",,,"",,"","2023-10-03 01:23:58.927172+00","f","f","f","366.996024","Oh. Ct. App. 3rd Dist. Union","Court of Appeals of Ohio, Third District, Union County","Court of Appeals of Ohio, Third District, Union County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3vanwert",,,"",,"","2023-10-03 01:23:58.943081+00","f","f","f","366.996025","Oh. Ct. App. 3rd Dist. Van Wert","Court of Appeals of Ohio, Third District, Van Wert County","Court of Appeals of Ohio, Third District, Van Wert County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp3wyandot",,,"",,"","2023-10-03 01:23:58.949186+00","f","f","f","366.996026","Oh. Ct. App. 3rd Dist. Wyandot","Court of Appeals of Ohio, Third District, Wyandot County","Court of Appeals of Ohio, Third District, Wyandot County","",,,"ST","Created as part of import of Case.Law data.","ohctapp3"
"ohctapp4",,,"",,"","2023-10-03 01:23:58.963217+00","f","f","f","366.996027","","Court of Appeals of Ohio, Fourth District","Court of Appeals of Ohio, Fourth District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp5",,,"",,"","2023-10-03 01:23:58.972659+00","f","f","f","366.996042","","Court of Appeals of Ohio, Fifth District","Court of Appeals of Ohio, Fifth District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp4adams",,,"",,"","2023-10-03 01:23:58.983283+00","f","f","f","366.996028","Oh. Ct. App. 4th Dist. Adams","Court of Appeals of Ohio, Fourth District, Adams County","Court of Appeals of Ohio, Fourth District, Adams County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4athens",,,"",,"","2023-10-03 01:23:58.999595+00","f","f","f","366.996029","Oh. Ct. App. 4th Dist. Athens","Court of Appeals of Ohio, Fourth District, Athens County","Court of Appeals of Ohio, Fourth District, Athens County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4gallia",,,"",,"","2023-10-03 01:23:59.011208+00","f","f","f","366.99603","Oh. Ct. App. 4th Dist. Gallia","Court of Appeals of Ohio, Fourth District, Gallia County","Court of Appeals of Ohio, Fourth District, Gallia County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4highlan",,,"",,"","2023-10-03 01:23:59.020795+00","f","f","f","366.996031","Oh. Ct. App. 4th Dist. Highland","Court of Appeals of Ohio, Fourth District, Highland County","Court of Appeals of Ohio, Fourth District, Highland County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4hocking",,,"",,"","2023-10-03 01:23:59.027439+00","f","f","f","366.996032","Oh. Ct. App. 4th Dist. Hocking","Court of Appeals of Ohio, Fourth District, Hocking County","Court of Appeals of Ohio, Fourth District, Hocking County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4jackson",,,"",,"","2023-10-03 01:23:59.05079+00","f","f","f","366.996033","Oh. Ct. App. 4th Dist. Jackson","Court of Appeals of Ohio, Fourth District, Jackson County","Court of Appeals of Ohio, Fourth District, Jackson County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4lawrenc",,,"",,"","2023-10-03 01:23:59.064981+00","f","f","f","366.996034","Oh. Ct. App. 4th Dist. Lawrence","Court of Appeals of Ohio, Fourth District, Lawrence County","Court of Appeals of Ohio, Fourth District, Lawrence County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4meigs",,,"",,"","2023-10-03 01:23:59.072375+00","f","f","f","366.996035","Oh. Ct. App. 4th Dist. Meigs","Court of Appeals of Ohio, Fourth District, Meigs County","Court of Appeals of Ohio, Fourth District, Meigs County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4pickawa",,,"",,"","2023-10-03 01:23:59.091698+00","f","f","f","366.996036","Oh. Ct. App. 4th Dist. Pickaway","Court of Appeals of Ohio, Fourth District, Pickaway County","Court of Appeals of Ohio, Fourth District, Pickaway County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4pike",,,"",,"","2023-10-03 01:23:59.111512+00","f","f","f","366.996037","Oh. Ct. App. 4th Dist. Pike","Court of Appeals of Ohio, Fourth District, Pike County","Court of Appeals of Ohio, Fourth District, Pike County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4ross",,,"",,"","2023-10-03 01:23:59.132675+00","f","f","f","366.996038","Oh. Ct. App. 4th Dist. Ross","Court of Appeals of Ohio, Fourth District, Ross County","Court of Appeals of Ohio, Fourth District, Ross County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4scioto",,,"",,"","2023-10-03 01:23:59.155317+00","f","f","f","366.996039","Oh. Ct. App. 4th Dist. Scioto","Court of Appeals of Ohio, Fourth District, Scioto County","Court of Appeals of Ohio, Fourth District, Scioto County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4vinton",,,"",,"","2023-10-03 01:23:59.169116+00","f","f","f","366.99604","Oh. Ct. App. 4th Dist. Vinton","Court of Appeals of Ohio, Fourth District, Vinton County","Court of Appeals of Ohio, Fourth District, Vinton County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp4washing",,,"",,"","2023-10-03 01:23:59.180963+00","f","f","f","366.996041","Oh. Ct. App. 4th Dist. Washington","Court of Appeals of Ohio, Fourth District, Washington County","Court of Appeals of Ohio, Fourth District, Washington County","",,,"ST","Created as part of import of Case.Law data.","ohctapp4"
"ohctapp5ashland",,,"",,"","2023-10-03 01:23:59.195282+00","f","f","f","366.996043","Oh. Ct. App. 5th Dist. Ashland","Court of Appeals of Ohio, Fifth District, Ashland County","Court of Appeals of Ohio, Fifth District, Ashland County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5coshoct",,,"",,"","2023-10-03 01:23:59.211249+00","f","f","f","366.996044","Oh. Ct. App. 5th Dist. Coshocton","Court of Appeals of Ohio, Fifth District, Coshocton County","Court of Appeals of Ohio, Fifth District, Coshocton County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5delawar",,,"",,"","2023-10-03 01:23:59.229114+00","f","f","f","366.996045","Oh. Ct. App. 5th Dist. Delaware","Court of Appeals of Ohio, Fifth District, Delaware County","Court of Appeals of Ohio, Fifth District, Delaware County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5fairfie",,,"",,"","2023-10-03 01:23:59.247155+00","f","f","f","366.996046","Oh. Ct. App. 5th Dist. Fairfield","Court of Appeals of Ohio, Fifth District, Fairfield County","Court of Appeals of Ohio, Fifth District, Fairfield County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5guernse",,,"",,"","2023-10-03 01:23:59.261099+00","f","f","f","366.996047","Oh. Ct. App. 5th Dist. Guernsey","Court of Appeals of Ohio, Fifth District, Guernsey County","Court of Appeals of Ohio, Fifth District, Guernsey County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5holmes",,,"",,"","2023-10-03 01:23:59.275249+00","f","f","f","366.996048","Oh. Ct. App. 5th Dist. Holmes","Court of Appeals of Ohio, Fifth District, Holmes County","Court of Appeals of Ohio, Fifth District, Holmes County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5knox",,,"",,"","2023-10-03 01:23:59.285158+00","f","f","f","366.996049","Oh. Ct. App. 5th Dist. Knox","Court of Appeals of Ohio, Fifth District, Knox County","Court of Appeals of Ohio, Fifth District, Knox County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5licking",,,"",,"","2023-10-03 01:23:59.295231+00","f","f","f","366.99605","Oh. Ct. App. 5th Dist. Licking","Court of Appeals of Ohio, Fifth District, Licking County","Court of Appeals of Ohio, Fifth District, Licking County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5morgan",,,"",,"","2023-10-03 01:23:59.305902+00","f","f","f","366.996051","Oh. Ct. App. 5th Dist. Morgan","Court of Appeals of Ohio, Fifth District, Morgan County","Court of Appeals of Ohio, Fifth District, Morgan County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5morrow",,,"",,"","2023-10-03 01:23:59.315243+00","f","f","f","366.996052","Oh. Ct. App. 5th Dist. Morrow","Court of Appeals of Ohio, Fifth District, Morrow County","Court of Appeals of Ohio, Fifth District, Morrow County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5musking",,,"",,"","2023-10-03 01:23:59.331269+00","f","f","f","366.996053","Oh. Ct. App. 5th Dist. Muskingum","Court of Appeals of Ohio, Fifth District, Muskingum County","Court of Appeals of Ohio, Fifth District, Muskingum County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5richlan",,,"",,"","2023-10-03 01:23:59.345098+00","f","f","f","366.996054","Oh. Ct. App. 5th Dist. Richland","Court of Appeals of Ohio, Fifth District, Richland County","Court of Appeals of Ohio, Fifth District, Richland County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5stark",,,"",,"","2023-10-03 01:23:59.351521+00","f","f","f","366.996055","Oh. Ct. App. 5th Dist. Stark","Court of Appeals of Ohio, Fifth District, Stark County","Court of Appeals of Ohio, Fifth District, Stark County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp5tuscara",,,"",,"","2023-10-03 01:23:59.357918+00","f","f","f","366.996056","Oh. Ct. App. 5th Dist. Tuscarawas","Court of Appeals of Ohio, Fifth District, Tuscarawas County","Court of Appeals of Ohio, Fifth District, Tuscarawas County","",,,"ST","Created as part of import of Case.Law data.","ohctapp5"
"ohctapp6",,,"",,"","2023-10-03 01:23:59.375268+00","f","f","f","366.996057","","Court of Appeals of Ohio, Sixth District","Court of Appeals of Ohio, Sixth District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp6erie",,,"",,"","2023-10-03 01:23:59.391241+00","f","f","f","366.996058","Oh. Ct. App. 6th Dist. Erie","Court of Appeals of Ohio, Sixth District, Erie County","Court of Appeals of Ohio, Sixth District, Erie County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp6fulton",,,"",,"","2023-10-03 01:23:59.399937+00","f","f","f","366.996059","Oh. Ct. App. 6th Dist. Fulton","Court of Appeals of Ohio, Sixth District, Fulton County","Court of Appeals of Ohio, Sixth District, Fulton County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp6huron",,,"",,"","2023-10-03 01:23:59.415247+00","f","f","f","366.99606","Oh. Ct. App. 6th Dist. Huron","Court of Appeals of Ohio, Sixth District, Huron County","Court of Appeals of Ohio, Sixth District, Huron County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp6lucas",,,"",,"","2023-10-03 01:23:59.431124+00","f","f","f","366.996061","Oh. Ct. App. 6th Dist. Lucas","Court of Appeals of Ohio, Sixth District, Lucas County","Court of Appeals of Ohio, Sixth District, Lucas County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp6ottawa",,,"",,"","2023-10-03 01:23:59.440742+00","f","f","f","366.996062","Oh. Ct. App. 6th Dist. Ottawa","Court of Appeals of Ohio, Sixth District, Ottawa County","Court of Appeals of Ohio, Sixth District, Ottawa County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp6sandusk",,,"",,"","2023-10-03 01:23:59.457044+00","f","f","f","366.996063","Oh. Ct. App. 6th Dist. Sandusky","Court of Appeals of Ohio, Sixth District, Sandusky County","Court of Appeals of Ohio, Sixth District, Sandusky County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp6william",,,"",,"","2023-10-03 01:23:59.475205+00","f","f","f","366.996064","Oh. Ct. App. 6th Dist. Williams","Court of Appeals of Ohio, Sixth District, Williams County","Court of Appeals of Ohio, Sixth District, Williams County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp6wood",,,"",,"","2023-10-03 01:23:59.490243+00","f","f","f","366.996065","Oh. Ct. App. 6th Dist. Wood","Court of Appeals of Ohio, Sixth District, Wood County","Court of Appeals of Ohio, Sixth District, Wood County","",,,"ST","Created as part of import of Case.Law data.","ohctapp6"
"ohctapp7",,,"",,"","2023-10-03 01:23:59.511157+00","f","f","f","366.996066","","Court of Appeals of Ohio, Seventh District","Court of Appeals of Ohio, Seventh District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp7belmont",,,"",,"","2023-10-03 01:23:59.527182+00","f","f","f","366.996067","Oh. Ct. App. 7th Dist. Belmont","Court of Appeals of Ohio, Seventh District, Belmont County","Court of Appeals of Ohio, Seventh District, Belmont County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp7carroll",,,"",,"","2023-10-03 01:23:59.539157+00","f","f","f","366.996068","Oh. Ct. App. 7th Dist. Carroll","Court of Appeals of Ohio, Seventh District, Carroll County","Court of Appeals of Ohio, Seventh District, Carroll County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp7columbi",,,"",,"","2023-10-03 01:23:59.552777+00","f","f","f","366.996069","Oh. Ct. App. 7th Dist. Columbiana","Court of Appeals of Ohio, Seventh District, Columbiana County","Court of Appeals of Ohio, Seventh District, Columbiana County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp7harriso",,,"",,"","2023-10-03 01:23:59.560587+00","f","f","f","366.99607","Oh. Ct. App. 7th Dist. Harrison","Court of Appeals of Ohio, Seventh District, Harrison County","Court of Appeals of Ohio, Seventh District, Harrison County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp7jeffers",,,"",,"","2023-10-03 01:23:59.575134+00","f","f","f","366.996071","Oh. Ct. App. 7th Dist. Jefferson","Court of Appeals of Ohio, Seventh District, Jefferson County","Court of Appeals of Ohio, Seventh District, Jefferson County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp7mahonin",,,"",,"","2023-10-03 01:23:59.589003+00","f","f","f","366.996072","Oh. Ct. App. 7th Dist. Mahoning","Court of Appeals of Ohio, Seventh District, Mahoning County","Court of Appeals of Ohio, Seventh District, Mahoning County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp7monroe",,,"",,"","2023-10-03 01:23:59.602709+00","f","f","f","366.996073","Oh. Ct. App. 7th Dist. Monroe","Court of Appeals of Ohio, Seventh District, Monroe County","Court of Appeals of Ohio, Seventh District, Monroe County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp7noble",,,"",,"","2023-10-03 01:23:59.609952+00","f","f","f","366.996074","Oh. Ct. App. 7th Dist. Noble","Court of Appeals of Ohio, Seventh District, Noble County","Court of Appeals of Ohio, Seventh District, Noble County","",,,"ST","Created as part of import of Case.Law data.","ohctapp7"
"ohctapp8",,,"",,"","2023-10-03 01:23:59.619256+00","f","f","f","366.996075","","Court of Appeals of Ohio, Eighth District","Court of Appeals of Ohio, Eighth District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp8cuyahog",,,"",,"","2023-10-03 01:23:59.639231+00","f","f","f","366.996076","Oh. Ct. App. 8th Dist. Cuyahoga","Court of Appeals of Ohio, Eighth District, Cuyahoga County","Court of Appeals of Ohio, Eighth District, Cuyahoga County","",,,"ST","Created as part of import of Case.Law data.","ohctapp8"
"ohctapp9",,,"",,"","2023-10-03 01:23:59.65525+00","f","f","f","366.996077","","Court of Appeals of Ohio, Ninth District","Court of Appeals of Ohio, Ninth District","",,,"ST","Created as part of import of Case.Law data.","ohioctapp"
"ohctapp9lorain",,,"",,"","2023-10-03 01:23:59.664088+00","f","f","f","366.996078","Oh. Ct. App. 9th Dist. Lorain","Court of Appeals of Ohio, Ninth District, Lorain County","Court of Appeals of Ohio, Ninth District, Lorain County","",,,"ST","Created as part of import of Case.Law data.","ohctapp9"
"ohctapp9medina",,,"",,"","2023-10-03 01:23:59.671129+00","f","f","f","366.996079","Oh. Ct. App. 9th Dist. Medina","Court of Appeals of Ohio, Ninth District, Medina County","Court of Appeals of Ohio, Ninth District, Medina County","",,,"ST","Created as part of import of Case.Law data.","ohctapp9"
